"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£ incl VAT when charged)";"Fulltext in EPMC";"Ahead of Print?";"Author Manuscript?";"Licence in Europe PMC";"Licence on Publisher website";"Journal Type";"COAF compliant?";"Funder of research (1)";"Funder of research (2)";"Funder of research (3)";"Grant ID (1)";"Grant ID (2)";"Grant ID (3)";;
"PMC4655869";26302249;"10.1037/ccp0000027";"American Psychological Association (APA)";"Journal of consulting and clinical psychology";"0022-006X, 1939-2117";"Mindfulness-Based Cognitive Therapy (MBCT) Reduces the Association Between Depressive Symptoms and Suicidal Cognitions in Patients With a History of Suicidal Depression";£3,204.97;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"GR067797";;;;
"PMC4961070";27454040;"10.1037/xge0000180";"American Psychological Association (APA)";"Journal of experimental psychology. General";"0096-3445, 1939-2222";"The perceptual and social components of metacognition";£3,067.19;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;91593;;;;
"PMC4755819";26726916;"10.1037/xge0000133";"American Psychological Association (APA)";"Journal of experimental psychology. General";"0096-3445, 1939-2222";"Exploratory decision-making as a function of lifelong experience, not cognitive decline";£3,372.35;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"WT106931MA";"AG043425";"R01 AG043425";;
"PMC4763252";26480248;"10.1037/xhp0000147";"American Psychological Association (APA)";"Journal of experimental psychology. Human perception and performance";"0096-1523, 1939-1277";"Sound segregation via embedded Repetition is robust to inattention";£3,386.87;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"093292/Z/10/Z";;;;
"PMC4873047";26752732;"10.1037/xhp0000194";"American Psychological Association (APA)";"Journal of experimental psychology. Human perception and performance";"0096-1523, 1939-1277";"Interaction between object-based attention and pertinence values shapes the attentional priority map of a multielement display";£3,633.34;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"unknown";27668485;"10.1037/xlm0000328";"American Psychological Association (APA)";"Journal of experimental psychology. Learning, memory, and cognition";"0278-7393, 1939-1285";"Rapid Forgetting Results From Competition Over Time Between Items in Visual Working Memory";£3,806.14;0;1;"not applicable";"unknown";"unknown";"hybrid";0;"Wellcome Trust";;;;;;;
"PMC4886836";26866836;"10.1037/fam0000188";"American Psychological Association (APA)";"Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43)";"0893-3200, 1939-1293";"Single mothers by choice: Mother-child relationships and children's psychological adjustment";3650.76;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"wellcome-trust,";;;;;;;
"PMC4768598";26752123;"10.1037/neu0000240";"American Psychological Association (APA)";"Neuropsychology";"0894-4105, 1931-1559";"The Doors and People Test: The effect of frontal lobe lesions on recall and recognition memory performance";£3,397.28;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;66763;"089231/A/09/Z";;;
"PMC4824243";26727308;"10.1037/bul0000037";"American Psychological Association (APA)";"Psychological bulletin";"0033-2909, 1939-1455";"Oral language deficits in familial dyslexia: A meta-analysis and review";£3,633.34;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"WT082036AIA";;;;
"PMC4976797";27294712;"10.1037/pag0000105";"American Psychological Association (APA)";"Psychology and aging";"0882-7974, 1939-1498";"Temporal Orienting of Attention can be Preserved in Normal Aging";£3,592.48;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4476608";25961147;"10.1037/adb0000058";"American Psychological Association (APA)";"Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors";"0893-164X, 1939-1501";"The role of the working alliance treatment for alcohol problems.";2549.23;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";;"WT086516MA";"G9700729";;;
"PMC4813692";26385339;"10.1074/mcp.m115.048504";"American Society for Biochemistry & Molecular Biology (ASBMB)";"Molecular & cellular proteomics : MCP";"1535-9476, 1535-9484";"Serum Albumin Domain Structures in Human Blood Serum by Mass Spectrometry and Computational Biology";£987.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"JR 084229";103139;92076;;
"PMC4937518";27114452;"10.1074/mcp.o115.055467";"American Society for Biochemistry & Molecular Biology (ASBMB)";"Molecular & cellular proteomics : MCP";"1535-9476, 1535-9484";"Global Membrane Protein Interactome Analysis using In vivo Crosslinking and Mass Spectrometry-based Protein Correlation Profiling.";1037.27;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4974347";27250206;"10.1074/mcp.m115.056473";"American Society for Biochemistry & Molecular Biology (ASBMB)";"Molecular & cellular proteomics : MCP";"1535-9476, 1535-9484";"Structure of complement C3(H2O) revealed by quantitative cross-linking/mass spectrometry and modelling";£1,147.64;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;294809;"R01 GM083960";"BB/I007946/1";;
"PMC4974350";27302889;"10.1074/mcp.m115.056481";"American Society for Biochemistry & Molecular Biology (ASBMB)";"Molecular & cellular proteomics : MCP";"1535-9476, 1535-9484";"Quantitative cross-linking/mass spectrometry using isotopelabeled cross-linkers and MaxQuant";£1,156.82;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4974353";27231315;"10.1074/mcp.m116.057885";"American Society for Biochemistry & Molecular Biology (ASBMB)";"Molecular & cellular proteomics : MCP";"1535-9476, 1535-9484";"Proteomics analysis with a nano Random Forest approach reveals novel functional interactions regulated by SMC complexes on mitotic chromosomes";£1,465.84;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4739672";26685126;"10.1074/mcp.m115.051649";"American Society for Biochemistry & Molecular Biology (ASBMB)";"Molecular & cellular proteomics : MCP";"1535-9476, 1535-9484";"Analysis of signaling endosome composition and dynamics using SILAC in embryonic stem cell-derived neurons";£1,731.40;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";"CRUK";10011;10002;;;
"PMC5013309";27384951;"10.1074/mcp.m116.058552";"American Society for Biochemistry & Molecular Biology (ASBMB)";"Molecular & cellular proteomics : MCP";"1535-9476, 1535-9484";"Hvint: A strategy for identifying novel protein-protein interactions in herpes simplex virus type 1";£1,903.06;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";;;"G0600084";"MR/M019292/1";;
"PMC4638040";26330542;"10.1074/mcp.m115.051169";"American Society for Biochemistry & Molecular Biology (ASBMB)";"Molecular & cellular proteomics : MCP";"1535-9476, 1535-9484";"ProteinÂ–Protein Interactions Modulate the Docking-Dependent E3-Ubiquitin Ligase Activity of Carboxy-Terminus of Hsc70-Interacting Protein (CHIP)";£1,351.94;1;"not applicable";0;"unknown";"non-standard-licence";"hybrid";0;"Cancer Research UK";;;92076;"C377/A6355";;;
"PMC4933154";27129275;"10.1074/jbc.m116.714790";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"?-aminobutyric acid type A (GABAA) receptor subunits play a direct structural role in synaptic contact formation via their N-terminal extracellular domains";£1,123.45;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";;;"G0800498";;;
"PMC5034038";27489103;"10.1074/jbc.m116.737270";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"The CaVbeta subunit protects the I-II loop of the voltage-gated calcium channel, CaV2.2, from proteasomal degradation but not oligo-ubiquitination";£1,165.39;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4646403";26378228;"10.1074/jbc.m115.679019";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Identification of the ISWI chromatin remodeling complex of the early branching eukaryote Trypanosoma brucei";£1,165.50;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"BBSRC";;"unknown";"BB/J01477X/1";;;
"PMC4646915";26363064;"10.1074/jbc.m115.688234";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"A Cell-based Fluorescence Resonance Energy Transfer (FRET) Sensor Reveals Inter- and Intragenogroup Variations in Norovirus Protease Activity and Polyprotein Cleavage.";1173.17;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;97997;"WT097997MA";;;
"PMC4813486";26655720;"10.1074/jbc.m115.691063";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Uncovering the early assembly mechanism for amyloidogenic ÃŸ2-microglobulin using cross-linking and native mass spectrometry";£1,209.20;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4813548";26668320;"10.1074/jbc.m115.694372";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Perturbation of Critical Prolines in Gloeobacter violaceus Ligand-gated Ion Channel (GLIC) Supports Conserved Gating Motions among Cys-loop Receptors.";1245.96;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;"WT 81925";"GM07616";"NS 34407";;
"PMC4933465";27044744;"10.1074/jbc.m116.720953";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"The Anti-inflammatory Protein TSG-6 Regulates Chemokine Function by Inhibiting Chemokine/Glycosaminoglycan Interactions.";£1,258.72;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Arthritis Research UK";;;18472;20347;"R01 HL107652";;
"PMC4919433";27129261;"10.1074/jbc.m115.700609";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Human platelets utilize cycloxygenase-1 to generate dioxolane A3, a neutrophil activating eicosanoid.";1259;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";0;0;"RG/12/11/29815";;;;
"PMC4813465";26679998;"10.1074/jbc.m115.700385";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Selective inhibition of the mitochondrial permeability transition pore protects against neuro-degeneration in experimental multiple sclerosis.";£1,268.95;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";"British Heart Foundation";90940;"unknown";"unknown";;
"PMC4705968";26438825;"10.1074/jbc.m115.684076";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Two-pore Channels (TPC2s) and Nicotinic Acid Adenine Dinucleotide Phosphate (NAADP) at Lysosomal-Sarcoplasmic Reticular Junctions Contribute to Acute and Chronic ?-Adrenoceptor Signaling in the Heart";£1,340.21;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"British Heart Foundation";"British Heart Foundation";"unknown";102828;"BB/G008523/1";;
"PMC4919432";27129217;"10.1074/jbc.m115.708263";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"The dimeric architecture of checkpoint kinases Mec1ATR and Tel1ATM reveal a common structural organisation.";£1,346.51;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"R01 GM083970";;;;
"PMC4683255";26491011;"10.1074/jbc.m115.689596";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Evidence for a Functional O-Linked N-Acetylglucosamine (O-GlcNAc) System in the Thermophilic Bacterium Thermobaculum terrenum.";1350;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"WT087590MA";87590;"MR/M004139/1";;
"PMC4742742";26627825;"10.1074/jbc.m115.678359";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Extracellular Fibrinogen-binding Protein (Efb) from Staphylococcus aureus Inhibits the Formation of Platelet-Leukocyte Complexes";1356.94;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"ZR-W0258A";"BB/J002690/1";"BB/J008176/1";;
"PMC5025681";27435674;"10.1074/jbc.m115.710673";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Tumor Necrosis Factor-stimulated Gene-6 (TSG-6) Is Constitutively Expressed in Adult Central Nervous System (CNS) and Associated with Astrocyte-mediated Glial Scar Formation following Spinal Cord Injury.";£1,365.40;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"P01 HL107147";;;;
"PMC5016126";27302065;"10.1074/jbc.m116.730168";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Mammalian Glucose Transporter Activity is Dependent upon Anionic and Conical Phospholipids";£1,367.57;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Wellcome Trust";;;;;;
"PMC4807253";26742848;"10.1074/jbc.m115.691048";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Conserved Amphipathic Helices Mediate Lipid Droplet Targeting of Perilipins 1-3.";1370.14;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;107064;91551;"MC_UU_12012/5";;
"PMC5016179";27325704;"10.1074/jbc.m116.733576";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Calmodulin regulates human ether a go-go 1 (hEAG1) potassium channels through interactions of the eag-domain with the cyclic nucleotide binding homology domain";1374.7;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"PG/11/38/28886";"BB/K000128/1";;;
"PMC4938178";27226558;"10.1074/jbc.m116.714766";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Cellular case in kinase 2 and protein phosphatase 2A modulate replication site assembly of Bluetongue virus.";1378.17;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4933286";27036941;"10.1074/jbc.m115.700856";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Entry of Bluetongue virus capsid requires the late endosomal specific lipid lysobisphosphatidic acid.";1391.79;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4813561";26811337;"10.1074/jbc.m115.691113";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Low pH and Anionic Lipid Dependent Fusion of Uukuniemi Phelebovirus to Liposomes";£1,417.84;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Wellcome Trust";"Wellcome Trust";"090532/Z/09/Z";"093305/Z/10/Z";"060208/Z/00/Z";;
"PMC5000080";27281824;"10.1074/jbc.m115.690651";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"Mechanism of Histone H3K4me3 Recognition by the Plant Homeodomain of Inhibitor of Growth 3";£1,419.47;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"2013MAYSP005";"2013MaySP005";"P41 GM103399";;
"PMC4919465";27189951;"10.1074/jbc.m116.733246";"American Society for Biochemistry & Molecular Biology (ASBMB)";"The Journal of biological chemistry";"0021-9258, 1083-351X";"A Gene of the ?3-Glycosyltransferase Family Encodes N-Acetylglucosaminyltransferase II Function in Trypanosoma brucei.";1437.31;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
