"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
"","",1500,"","","",2014-03-28,"","University of Glasgow","Population, Space and Place","","","",Wiley-Blackwell,2014,"",0,"","Emigration of Scottish steelworkers to Canada: impacts on social networks"
600,323.4,323.4,USD,"","",2014-03-31,"","University of Glasgow","International Journal of Qualitative Methods.","","","","University of Alberta",2014,"",0,"","Avoiding pitfalls and realising opportunities: reflecting on issues of sampling and recruitment for online focus groups"
"","",1510.16,CHF,"","",2014-04-03,"","University of Glasgow",Sensors,"","","","MDPI AG",2014,"",0,"","Luminescent Measurement Systems for the Investigation of a Scramjet Inlet-Isolator"
"","",2134.68,EUR,"","",2014-04-03,"","University of Glasgow","The Veterinary Journal","","","","Elsevier BV",2014,"",0,"","Estimates of genetic parameters of distal limb fracture and superficial digital flexor tendon injury in UK Thoroughbred racehorses'"
"","",1657.5,"","","",2014-04-03,"","University of Glasgow","Journal of Epidemiology and Community Health","","","",BMJ,2014,"",0,"","You have been QUALIFIED for a smokeless e-cig starter kit"
"","",3600,"","","",2014-04-04,"","University of Glasgow","International Materials Reviews","","","","Maney Publishing",2014,"",0,"","Aberration-corrected scanning transmission electron microscopy for atomic-resolution studies of functional oxides"
"","",1500,"","","",2014-04-04,"","University of Glasgow","Laser and Photonics Reviews","","","",Wiley-Blackwell,2014,"",0,"","A monolithic resonant terahertz sensor element comprising a metamaterial absorber and micro-bolometer"
"","",1070.94,"","","",2014-04-07,"","University of Glasgow","IEEE Transactions on Pattern Analysis and Machine Intelligence","","","","Institute of Electrical and Electronics Engineers (IEEE)",2014,"",0,"","Pseudo-Marginal Bayesian Inference for Gaussian Processes"
"","",2404.45,"","","",2014-04-07,"","University of Glasgow","Journal of Catalysis","","","","Elsevier BV",2014,"",0,"","The application of inelastic neutron scattering to investigate CO hydrogenation over an iron Fischer-Tropsch synthesis catalyst"
"","",976.87,"","","",2014-04-07,"","University of Glasgow","IEEE Transacations on Electron Devices","","","","Institute of Electrical and Electronics Engineers (IEEE)",2014,"",0,"","Optimization and evaluation of variability in the programing window of a flash cell with molecular metal oxide storage"
"","",3498,"","","",2014-04-09,"","University of Glasgow","Nature Communications","","","","Springer Nature",2014,"",0,"","Discovery of gigantic molecular nanostructures using a flow reaction array as a search engine"
"","",1843.76,EUR,"","",2014-04-10,"","University of Glasgow","Biological Conservation","","","","Elsevier BV",2014,"",0,"","Out of sight but not out of harm’s way: human disturbance reduces reproductive success of a cavity-nesting seabird"
"","",2550,"","","",2014-04-14,"","University of Glasgow","American Journal of Epidemiology","","","","Oxford University Press (OUP)",2014,"",0,"","Multilevel analysis of individual heterogeneity: a fundamental critique of the current probabilistic risk factor epidemiology"" - Response to Invited Commentary"
"","",1740,"","","",2014-04-14,"","University of Glasgow","Chem Comm","","","","Royal Society of Chemistry (RSC)",2014,"",0,"","Solvatochromic probes for detecting hydrogen-bond-donating solvents"
"","",1500,"","","",2014-04-15,"","University of Glasgow","Milbank Quarterly","","","",Wiley-Blackwell,2014,"",0,"","Changing Policy Framing as a Deliberate Strategy for Public Health Advocacy: A Qualitative Policy Case Study of Minimum Unit Pricing of Alcohol"
"","",976.87,"","","",2014-04-17,"","University of Glasgow","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","","","","Institute of Electrical and Electronics Engineers (IEEE)",2014,"",0,"","Smart Cymbal Transducers with Nitinol End-Caps for Multiple Frequency Applications"
"","",1260,"","","",2014-04-23,"","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society",2014,"",0,"","A cross-culture, cross-gender comparison of perspective taking mechanisms"
"","",1260,"","","",2014-04-25,"","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society",2014,"",0,"","Can environmental conditions experienced in early life influence future generations?"
"","",1500,"","","",2014-04-25,"","University of Glasgow","International Journal for Numerical Methods in Biomedical Engineering","","","",Wiley-Blackwell,2014,"",0,"","Quasi-static imaged-based immersed boundary-finite element model of human left ventricle in diastole"
"","",1740,"","","",2014-04-28,"","University of Glasgow",Lab-on-a-Chip,"","","","Royal Society of Chemistry (RSC)",2014,"",0,"","Integrating microfluidic generation, handling and analysis of biomimetic giant unilamellar vesicles"
"","",1740,"","","",2014-04-28,"","University of Glasgow",Lab-on-a-Chip,"","","","Royal Society of Chemistry (RSC)",2014,"",0,"","Cell Patterning with a Heptagon Acoustic Tweezer – Application in Neurite Guidance"
"","",1266.86,"","","",2014-04-29,"","University of Glasgow","Health and Place","","","","Elsevier BV",2014,"",0,"","The Relative Influence of Neighbourhood Incivilities, Cognitive Social Capital, Club Membership and Individual Characteristics on Positive Mental Health"
"","",394,"","","",2014-04-29,"","University of Glasgow","Journal of Modern Optics","","","","Informa UK Limited",2014,"",0,"","Advanced technologies for future laser-interferometric gravitational wave detectors"
"","",1675.87,"","","",2014-05-02,"","University of Glasgow","Advanced Optical Technologies ","","","","Walter de Gruyter GmbH",2014,"",0,"","Hydroxide catalysis bonding for astronomical instruments"
"","",1347.39,USD,"","",2014-05-06,"","University of Glasgow","Optics Express","","","","Optical Society of America",2014,"",0,"","The Mechanical Faraday Effect for Orbital Angular Momentum-Carrying Beams"
"","",1500,"","","",2014-05-08,"","University of Glasgow",Hepatology,"","","",Wiley-Blackwell,2014,"",0,"","Next generation sequencing sheds light on the natural history of hepatitis C infection in patients that fail treatment"
"","",1500,"","","",2014-05-12,"","University of Glasgow"," Journal of Chemical Technology & Biotechnology ","","","",Wiley-Blackwell,2014,"",0,"","Iron ochre – a pre-catalyst for the cracking of methane"
"","",1500,"","","",2014-05-13,"","University of Glasgow","Journal of Animal Ecology","","","",Wiley-Blackwell,2014,"",0,"","Survival in macaroni penguins and the relative importance of different drivers; individual traits, predation pressure and environmental variability  "
"","",2569.76,USD,"","",2014-05-14,"","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)",2014,"",0,"","Concomitant action of structural elements and receptor phosphorylation determine arrestin-3 interaction with the free fatty acid receptor FFA4"
"","",1295.53,"","","",2014-05-19,"","University of Glasgow","Stem Cell Research","","","","Elsevier BV",2014,"",0,"","Differential sensitivity of Glioma stem cells to Aurora kinase A inhibitors: Implications for stem cell mitosis and centrosome dynamics "
"","",2550,"","","",2014-05-20,"","University of Glasgow","Cerebral Cortex","","","","Oxford University Press (OUP)",2014,"",0,"","Conversational interaction in the scanner: Mentalizing during language processing as revealed by MEG ID: bhu116"
"","",1349.35,USD,"","",2014-05-20,"","University of Glasgow","Optics Express","","","","Optical Society of America",2014,"",0,"","High speed switching between arbitrary spatial light profiles"
"","",1500,"","","",2014-05-20,"","University of Glasgow","European Journal of Neuroscience","","","",Wiley-Blackwell,2014,"",0,"","Prenatal inhibition of the kynurenine pathway leads to structural changes in the hippocampus of adult rat offspring"
"","",805.48,EUR,"","",2014-05-21,"","University of Glasgow","Frontiers in Aging Neuroscience","","","","Frontiers Media SA",2014,"",0,"","A rightward shift in the visuospatial attention vector with healthy aging"
"","",2132.55,EUR,"","",2014-05-22,"","University of Glasgow","Journal of Clinical Epidemiology","","","","Elsevier BV",2014,"",0,"","Latent class analysis was accurate but sensitive in data simulations"
"","",1260,"","","",2014-05-22,"","University of Glasgow","Biology Letters","","","","The Royal Society",2014,"",0,"","Sex ratio influences the motivational salience of facial attractiveness"
"","",288.53,JPY,"","",2014-05-22,"","University of Glasgow","Transactions of JSASS","","","","Aerospace Technology Japan",2014,"",0,"","Experimental Investigation of Impinging Shock  Cavity Interactions with Upstream Transverse Jet Injection"
"","",1544.31,EUR,"","",2014-05-23,"","University of Glasgow","Molecular and Cellular Neuroscience","","","","Elsevier BV",2014,"",0,"","The phosphorylation of Hsp20 enhances its association with amyloid-<beta> to increase protection against neuronal cell death"
"","",2598.69,USD,"","",2014-05-25,"","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)",2014,"",0,"","The Molecular Basis of Ligand Interaction at Free Fatty Acid Receptor 4"
"","",2100,"","","",2014-05-28,"","University of Glasgow","IMA Journal of Applied Mathematics","","","","Oxford University Press (OUP)",2014,"",0,"","Dynamic finite-strain modelling of the human left ventricle in health and disease using an immersed boundary-finite element method"
"","",1772.18,"","","",2014-05-30,"","University of Glasgow","Journal of African Earth Sciences","","","","Elsevier BV",2014,"",0,"","Intracontinental deformation in southern Africa during the late Cretaceous"
"","",1500,"","","",2014-06-02,"","University of Glasgow","Journal of Animal Ecology","","","",Wiley-Blackwell,2014,"",0,"","Growth trajectory influences temperature preference in fish through an effect on metabolic rate"
"","",1500,"","","",2014-06-02,"","University of Glasgow","Functional Ecology","","","",Wiley-Blackwell,2014,"",0,"","Aerobic scope predicts dominance during early life in a tropical damselfish"
"","",2235,"","","",2014-06-06,"","University of Glasgow",Bioinformatics,"","","","Oxford University Press (OUP)",2014,"",0,"","MetAssign: probabilistic annotation of metabolites from LC–MS data using a Bayesian clustering approach"
"","",2112,EUR,"","",2014-06-09,"","University of Glasgow","Space Science Reviews","","","","Springer Nature",2014,"",0,"","Electric Current Circuits in Astrophysics "
"","",1706.04,EUR,"","",2014-06-09,"","University of Glasgow","Computer Networks","","","","Elsevier BV",2014,"",0,"","A Two-level Markov Model for Packet Loss in UDP/IP-based Real-Time Video Applications Targeting Residential Users"
"","",1203.6,USD,"","",2014-06-10,"","University of Glasgow","Physical review letters","","","","American Physical Society (APS)",2014,"",0,"","Thermal noise of folding mirrors"
"","",1531.2,USD,"","",2014-06-11,"","University of Glasgow","APL Materials","","","","AIP Publishing",2014,"",0,"","THE ATOMIC STRUCTURE AND CHEMISTRY OF FE-RICH STEPS ON ANTIPHASE BOUNDARIES IN TI-DOPED BI0.9ND0.15FEO3"
"","",2144.57,EUR,"","",2014-06-11,"","University of Glasgow","Current Microbiology","","","","Springer Nature",2014,"",0,"","Optically trapped bacteria pairs reveal discrete motile response to control aggregation upon cell-cell approach"
"","",2040,"","","",2014-06-16,"","University of Glasgow","Journal of Micromechanics and Microengineering","","","","IOP Publishing",2014,"",0,"","Injection moulding of ultra high aspect ratio nanostructures using coated polymer tooling"
"","",1523.45,EUR,"","",2014-06-16,"","University of Glasgow","NIMA Proceedings","","","","Elsevier BV",2014,"",0,"","Development of planar pixel modules for the ATLAS high luminosity LHC tracker upgrade"
"","",976.87,"","","",2014-06-16,"","University of Glasgow","IEEE Transactions on Electron Devices","","","","Institute of Electrical and Electronics Engineers (IEEE)",2014,"",0,"","Co-fabrication of Planar Gunn Diode and HEMT on InP Substrate"
"","",1500,"","","",2014-06-16,"","University of Glasgow","International Journal of Stroke","","","",Wiley-Blackwell,2014,"",0,"","Detection of ischemic penumbra using combined perfusion and T2* oxygen challenge imaging"
"","",1620,"","","",2014-06-16,"","University of Glasgow","BMJ Open ","","","",BMJ,2014,"",0,"","European Working Time Directive and doctors' health. A Systematic review of the available epidemiological evidence"
"","",2159.95,EUR,"","",2014-06-20,"","University of Glasgow","Marine Biology","","","","Springer Nature",2014,"",0,"","Inter- and intra-year variation in foraging areas of breeding kittiwakes (Rissa tridactyla)'"
